release_date,title,prod_budget,worldwide_gross,genre,average_rating,ROI,release_year,season_released
2015-11-06,Spectre,300000000,879620923,Thriller,6.8,1.9320697433333334,2015,Fall
2012-07-20,The Dark Knight Rises,275000000,1084439099,Thriller,8.4,2.9434149054545453,2012,Summer
2017-04-14,The Fate of the Furious,250000000,1234846267,Thriller,6.7,3.939385068,2017,Spring
2012-11-08,Skyfall,200000000,1110526981,Thriller,7.8,4.552634905,2012,Fall
2013-06-21,World War Z,190000000,531514650,Horror,7.0,1.7974455263157896,2013,Summer
2017-10-06,Blade Runner 2049,185000000,259357408,Mystery,8.0,0.40193193513513514,2017,Fall
2018-08-10,The Meg,178000000,529530715,Horror,5.7,1.9748916573033708,2018,Summer
2017-11-22,Coco,175000000,798008101,Horror,7.4,3.5600462914285713,2017,Fall
2012-05-11,Dark Shadows,150000000,238202668,Horror,6.2,0.5880177866666667,2012,Spring
2013-06-28,White House Down,150000000,205440387,Thriller,6.4,0.36960258,2013,Summer
2015-12-25,The Revenant,135000000,532938302,Horror,6.0,2.947691125925926,2015,Winter
2010-07-23,Salt,130000000,290650494,Mystery,6.4,1.2357730307692307,2010,Summer
2010-07-23,Salt,130000000,290650494,Thriller,6.4,1.2357730307692307,2010,Summer
2014-03-28,Noah,130000000,352831065,Thriller,6.5,1.7140851153846153,2014,Spring
2011-04-29,Fast Five,125000000,630163454,Thriller,7.3,4.041307632,2011,Spring
2012-06-08,Prometheus,125000000,402448265,Mystery,7.0,2.21958612,2012,Summer
2012-08-10,The Bourne Legacy,125000000,280355920,Thriller,6.7,1.24284736,2012,Summer
2018-07-13,Skyscraper,125000000,304115534,Thriller,5.8,1.432924272,2018,Summer
2012-08-03,Total Recall,125000000,211856088,Mystery,6.3,0.694848704,2012,Summer
2016-07-29,Jason Bourne,120000000,416168316,Thriller,6.6,2.4680693,2016,Summer
2013-04-19,Oblivion,120000000,287916633,Thriller,8.0,1.399305275,2013,Spring
2018-10-05,Venom,116000000,853628605,Thriller,3.0,6.358867284482758,2018,Fall
2013-10-04,Gravity,110000000,693698673,Thriller,7.7,5.306351572727273,2013,Fall
2000-06-28,The Patriot,110000000,215300000,Documentary,7.3,0.9572727272727273,2000,Summer
2010-06-11,The A-Team,110000000,177241171,Thriller,6.8,0.6112833727272727,2010,Summer
2012-10-26,Cloud Atlas,102000000,130673154,Mystery,7.4,0.28110935294117645,2012,Fall
2013-12-25,The Wolf of Wall Street,100000000,389870414,Biography,8.2,2.89870414,2013,Winter
2012-08-17,The Expendables 2,100000000,311979256,Thriller,6.6,2.11979256,2012,Summer
2010-12-10,The Tourist,100000000,278731369,Thriller,6.0,1.78731369,2010,Winter
2014-08-15,The Expendables 3,100000000,209461378,Thriller,6.1,1.09461378,2014,Summer
2017-10-20,Geostorm,100000000,220796009,Thriller,5.3,1.20796009,2017,Fall
2017-05-19,Alien: Covenant,97000000,238521247,Horror,6.4,1.4589819278350515,2017,Spring
2017-05-19,Alien: Covenant,97000000,238521247,Thriller,6.4,1.4589819278350515,2017,Spring
2001-12-28,Black Hawk Down,95000000,159691085,Documentary,7.8,0.6809587894736842,2001,Winter
2010-11-12,Unstoppable,95000000,165720921,Thriller,6.8,0.7444307473684211,2010,Fall
2013-02-14,A Good Day to Die Hard,92000000,304249198,Thriller,5.3,2.3070565,2013,Winter
2011-12-20,The Girl with the Dragon Tattoo,90000000,239373970,Mystery,7.8,1.6597107777777778,2011,Winter
1997-07-11,Contact,90000000,165900000,Documentary,7.3,0.8433333333333334,1997,Summer
2014-03-21,Divergent,85000000,276014965,Mystery,6.7,2.247234882352941,2014,Spring
2017-01-20,xXx: Return of Xander Cage,85000000,345033359,Thriller,5.2,3.059215988235294,2017,Winter
2017-12-20,The Greatest Showman,84000000,386665550,Biography,7.6,3.6031613095238093,2017,Winter
2006-06-23,Click,82500000,237685089,Horror,3.6,1.8810313818181819,2006,Summer
2006-06-23,Click,82500000,237685089,Mystery,3.6,1.8810313818181819,2006,Summer
2008-02-14,Jumper,82500000,222640812,Biography,8.0,1.698676509090909,2008,Winter
2008-02-14,Jumper,82500000,222640812,Documentary,8.0,1.698676509090909,2008,Winter
2010-08-13,The Expendables,82000000,268268174,Thriller,6.5,2.2715630975609757,2010,Summer
2011-05-26,The Hangover Part II,80000000,586464305,Mystery,6.5,6.3308038125,2011,Spring
2010-02-19,Shutter Island,80000000,299461782,Mystery,8.1,2.743272275,2010,Winter
2010-02-19,Shutter Island,80000000,299461782,Thriller,8.1,2.743272275,2010,Winter
1996-12-06,Daylight,80000000,158908290,Horror,5.1,0.986353625,1996,Winter
1996-12-06,Daylight,80000000,158908290,Thriller,5.1,0.986353625,1996,Winter
2018-07-20,The Equalizer 2,77000000,190453132,Thriller,6.7,1.4734172987012988,2018,Summer
2013-05-31,Now You See Me,75000000,342769200,Horror,7.0,3.570256,2013,Spring
2013-05-31,Now You See Me,75000000,342769200,Thriller,7.0,3.570256,2013,Spring
2005-03-11,Hostage,75000000,77636443,Horror,3.4,0.03515257333333333,2005,Spring
2005-03-11,Hostage,75000000,77636443,Thriller,3.4,0.03515257333333333,2005,Spring
2000-11-22,Unbreakable,73243106,248099143,Biography,7.2,2.387337819889834,2000,Fall
2000-11-22,Unbreakable,73243106,248099143,Documentary,7.2,2.387337819889834,2000,Fall
2013-03-22,Olympus Has Fallen,70000000,172878928,Thriller,6.5,1.4696989714285715,2013,Spring
2006-09-29,The Guardian,70000000,94973540,Mystery,6.7,0.35676485714285716,2006,Fall
2013-10-18,Escape Plan,70000000,103735965,Mystery,6.7,0.48194235714285716,2013,Fall
2007-04-27,Next,70000000,73591500,Documentary,8.0,0.05130714285714286,2007,Spring
2018-03-02,Red Sparrow,69000000,145951861,Thriller,6.6,1.1152443623188406,2018,Spring
2003-03-21,Dreamcatcher,68000000,75685268,Documentary,7.1,0.11301864705882353,2003,Spring
2012-06-22,Abraham Lincoln: Vampire Hunter,67500000,137489730,Horror,5.9,1.0368848888888889,2012,Summer
2014-03-14,Need for Speed,66000000,194169619,Thriller,6.5,1.9419639242424243,2014,Spring
2012-11-09,Lincoln,65000000,273346281,Biography,7.4,3.2053274,2012,Fall
2014-12-25,Unbroken,65000000,163527824,Biography,7.2,1.5158126769230769,2014,Winter
2015-09-18,Everest,65000000,221297061,Biography,7.1,2.404570169230769,2015,Fall
2012-09-14,Resident Evil: Retribution,65000000,240647629,Horror,5.4,2.7022712153846156,2012,Fall
2014-01-24,"I, Frankenstein",65000000,74575290,Horror,5.1,0.14731215384615384,2014,Winter
2017-09-15,American Assassin,63000000,68310140,Thriller,6.2,0.0842879365079365,2017,Fall
2015-12-25,The Hateful Eight,62000000,147864886,Mystery,7.8,1.3849175161290324,2015,Winter
2014-10-03,Gone Girl,61000000,368567189,Mystery,8.1,5.042085065573771,2014,Fall
2014-10-03,Gone Girl,61000000,368567189,Thriller,8.1,5.042085065573771,2014,Fall
2015-09-18,Maze Runner: The Scorch Trials,61000000,310566162,Thriller,6.3,4.09124855737705,2015,Fall
2018-01-26,Maze Runner: The Death Cure,61000000,265878536,Thriller,6.2,3.358664524590164,2018,Winter
2016-09-09,Sully,60000000,238524556,Biography,7.5,2.9754092666666665,2016,Fall
2012-12-21,Jack Reacher,60000000,217370736,Thriller,7.0,2.6228456,2012,Winter
2011-09-09,Contagion,60000000,137551594,Thriller,6.6,1.2925265666666668,2011,Fall
2016-03-04,London Has Fallen,60000000,195194085,Thriller,5.9,2.25323475,2016,Spring
2016-10-21,Jack Reacher: Never Go Back,60000000,159946489,Thriller,6.1,1.6657748166666666,2016,Fall
2014-01-17,Jack Ryan: Shadow Recruit,60000000,131377412,Thriller,6.2,1.1896235333333334,2014,Winter
2018-10-12,First Man,60000000,105203825,Documentary,6.6,0.7533970833333333,2018,Fall
2010-01-29,Edge of Darkness,60000000,82812456,Mystery,6.6,0.3802076,2010,Winter
2009-03-20,Duplicity,60000000,81079566,Mystery,8.1,0.3513261,2009,Spring
2009-04-17,State of Play,60000000,88832210,Documentary,6.5,0.48053683333333336,2009,Spring
2013-08-21,The Mortal Instruments: City of Bones,60000000,75965567,Horror,5.9,0.26609278333333336,2013,Summer
2014-12-25,American Sniper,58000000,547326372,Biography,7.3,8.436661586206897,2014,Winter
1995-12-15,Sabrina,58000000,87100000,Horror,4.3,0.5017241379310344,1995,Winter
1995-12-15,Sabrina,58000000,87100000,Thriller,4.3,0.5017241379310344,1995,Winter
2010-09-10,Resident Evil: Afterlife,57500000,295874190,Horror,5.9,4.145638086956522,2010,Fall
2012-02-17,Ghost Rider: Spirit of Vengeance,57000000,149217355,Thriller,4.3,1.6178483333333333,2012,Winter
