original_title,start_year,runtime_mins,genre,average_rating,num_votes
Sunghursh,2013,175.0,"Action,Crime,Drama",7.0,77
Ashad Ka Ek Din,2019,114.0,"Biography,Drama",7.2,43
The Other Side of the Wind,2018,122.0,Drama,6.9,4517
La Telenovela Errante,2017,80.0,"Comedy,Drama,Fantasy",6.5,119
Joe Finds Grace,2017,83.0,"Adventure,Animation,Comedy",8.1,263
Pál Adrienn,2010,136.0,Drama,6.8,451
Oda az igazság,2010,100.0,History,4.6,64
Cooper and Hemingway: The True Gen,2013,180.0,Documentary,7.6,53
A zöld sárkány gyermekei,2010,89.0,Drama,6.9,120
T.G.M. - osvoboditel,2018,60.0,Documentary,7.5,6
Az ember tragédiája,2011,160.0,"Animation,Drama,History",7.8,584
Reverse Heaven,2018,104.0,Drama,4.0,72
The Final Journey,2010,120.0,Drama,8.8,8
Los pájaros se van con la muerte,2011,110.0,"Drama,Mystery",4.0,12
Foodfight!,2012,91.0,"Action,Animation,Comedy",1.9,8248
Return to Babylon,2013,75.0,"Biography,Comedy,Drama",5.9,123
Akakis mogzauroba,2012,44.0,Documentary,7.8,22
To Chase a Million,2018,97.0,"Action,Drama",7.4,5
Praha - neklidné srdce Evropy,2018,59.0,"Documentary,History",7.0,31
Kurzzeithelden,2015,45.0,Sci-Fi,6.6,16
Life's a Beach,2012,100.0,Comedy,3.9,219
Dark Blood,2012,86.0,Thriller,6.6,1053
Quantum Quest: A Cassini Space Odyssey,2010,45.0,"Adventure,Animation,Sci-Fi",5.1,287
Wazir,2016,103.0,"Action,Crime,Drama",7.1,15378
The Wicker Tree,2011,96.0,"Drama,Horror",3.9,2328
In My Sleep,2010,104.0,"Drama,Mystery,Thriller",5.5,1889
Aamaar Bhuvan,2018,102.0,"Drama,Family",7.9,61
Rice Girl,2014,95.0,"Adventure,Comedy,Romance",6.1,73
This Wretched Life,2010,99.0,"Comedy,Drama",7.6,59
Bunyan and Babe,2017,84.0,"Adventure,Animation,Comedy",5.0,302
On the Road,2012,124.0,"Adventure,Drama,Romance",6.1,37886
Chatô: O Rei do Brasil,2015,102.0,Biography,6.0,558
The Evil Within,2017,98.0,Horror,5.6,2420
Transeúntes,2015,101.0,"Comedy,Drama",6.7,35
