release_date,title,prod_budget,domestic_gross,worldwide_gross,start_year,runtime_mins,genre,average_rating,num_votes
2019-06-07,Dark Phoenix,350000000,42762350,149762350,2019,113.0,"Action,Adventure,Sci-Fi",6.0,24451
2015-05-01,Avengers: Age of Ultron,330600000,459005868,1403013963,2015,141.0,"Action,Adventure,Sci-Fi",7.3,665594
2018-04-27,Avengers: Infinity War,300000000,678815482,2048134200,2018,149.0,"Action,Adventure,Sci-Fi",8.5,670926
2017-11-17,Justice League,300000000,229024295,655945209,2017,120.0,"Action,Adventure,Fantasy",6.5,329135
2015-11-06,Spectre,300000000,200074175,879620923,2015,148.0,"Action,Adventure,Thriller",6.8,352504
2012-07-20,The Dark Knight Rises,275000000,448139099,1084439099,2012,164.0,"Action,Thriller",8.4,1387769
2018-05-25,Solo: A Star Wars Story,275000000,213767512,393151347,2018,135.0,"Action,Adventure,Fantasy",7.0,226243
2013-07-02,The Lone Ranger,275000000,89302115,260002115,2013,150.0,"Action,Adventure,Western",6.4,208827
2012-03-09,John Carter,275000000,73058679,282778100,2012,132.0,"Action,Adventure,Sci-Fi",6.6,241792
2010-11-24,Tangled,260000000,200821936,586477240,2010,100.0,"Adventure,Animation,Comedy",7.8,366366
2016-05-06,Captain America: Civil War,250000000,408084349,1140069413,2016,147.0,"Action,Adventure,Sci-Fi",7.8,583507
2016-03-25,Batman v Superman: Dawn of Justice,250000000,330360194,867500281,2016,151.0,"Action,Adventure,Fantasy",6.5,576909
2012-12-14,The Hobbit: An Unexpected Journey,250000000,303003568,1017003568,2012,169.0,"Adventure,Family,Fantasy",7.9,719629
2013-12-13,The Hobbit: The Desolation of Smaug,250000000,258366855,960366855,2013,161.0,"Adventure,Fantasy",7.8,565563
2014-12-17,The Hobbit: The Battle of the Five Armies,250000000,255119788,945577621,2014,144.0,"Adventure,Fantasy",7.4,438621
2017-04-14,The Fate of the Furious,250000000,225764765,1234846267,2017,136.0,"Action,Crime,Thriller",6.7,179774
2017-05-26,Pirates of the Caribbean: Dead Men Tell No Tales,230000000,172558876,788241137,2017,129.0,"Action,Adventure,Fantasy",6.6,228592
2012-05-04,The Avengers,225000000,623279547,1517935897,2012,143.0,"Action,Adventure,Sci-Fi",8.1,1183655
2013-06-14,Man of Steel,225000000,291045518,667999518,2013,143.0,"Action,Adventure,Sci-Fi",7.1,647288
2012-07-03,The Amazing Spider-Man,220000000,262030663,757890267,2012,136.0,"Action,Adventure,Sci-Fi",7.0,525632
2012-05-18,Battleship,220000000,65233400,313477717,2012,131.0,"Action,Adventure,Sci-Fi",5.8,225342
2017-06-21,Transformers: The Last Knight,217000000,130168683,602893340,2017,154.0,"Action,Adventure,Sci-Fi",5.2,119007
2015-06-12,Jurassic World,215000000,652270625,1648854864,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338
2012-05-25,Men in Black 3,215000000,179020854,654213485,2012,106.0,"Action,Adventure,Comedy",6.8,309879
2014-06-27,Transformers: Age of Extinction,210000000,245439076,1104039076,2014,165.0,"Action,Adventure,Sci-Fi",5.7,283486
2010-05-14,Robin Hood,210000000,105487148,322459006,2010,140.0,"Action,Adventure,Drama",6.6,239480
2018-02-16,Black Panther,200000000,700059566,1348258224,2018,134.0,"Action,Adventure,Sci-Fi",7.3,516148
2018-06-15,Incredibles 2,200000000,608581744,1242520711,2018,118.0,"Action,Adventure,Animation",7.7,203510
2016-06-17,Finding Dory,200000000,486295561,1021215193,2016,97.0,"Adventure,Animation,Comedy",7.3,213542
2010-06-18,Toy Story 3,200000000,415004880,1068879522,2010,103.0,"Adventure,Animation,Comedy",8.3,682218
2010-03-05,Alice in Wonderland,200000000,334191110,1025491110,2010,99.0,"Fantasy,Musical",6.5,6
